Year;Month;Day;Streamflow;;Gaps;Zeroes;
1907;01;01;;;3239;0;
1907;01;02;;;7.71;0.0;7.71
1907;01;03;;;;;
1907;01;04;;;;;
1907;01;05;;;;;
1907;01;06;;;;;
1907;01;07;;;;;
1907;01;08;;;;;
1907;01;09;;;;;
1907;01;10;;;;;
1907;01;11;;;;;
1907;01;12;;;;;
1907;01;13;;;;;
1907;01;14;;;;;
1907;01;15;;;;;
1907;01;16;;;;;
1907;01;17;;;;;
1907;01;18;;;;;
1907;01;19;;;;;
1907;01;20;;;;;
1907;01;21;;;;;
1907;01;22;;;;;
1907;01;23;;;;;
1907;01;24;;;;;
1907;01;25;;;;;
1907;01;26;;;;;
1907;01;27;;;;;
1907;01;28;;;;;
1907;01;29;;;;;
1907;01;30;;;;;
1907;01;31;;;;;
1907;02;01;;;;;
1907;02;02;;;;;
1907;02;03;;;;;
1907;02;04;;;;;
1907;02;05;;;;;
1907;02;06;;;;;
1907;02;07;;;;;
1907;02;08;;;;;
1907;02;09;;;;;
1907;02;10;;;;;
1907;02;11;;;;;
1907;02;12;;;;;
1907;02;13;;;;;
1907;02;14;;;;;
1907;02;15;;;;;
1907;02;16;;;;;
1907;02;17;;;;;
1907;02;18;;;;;
1907;02;19;;;;;
1907;02;20;;;;;
1907;02;21;;;;;
1907;02;22;;;;;
1907;02;23;;;;;
1907;02;24;;;;;
1907;02;25;;;;;
1907;02;26;;;;;
1907;02;27;;;;;
1907;02;28;;;;;
1907;03;01;;;;;
1907;03;02;;;;;
1907;03;03;;;;;
1907;03;04;;;;;
1907;03;05;;;;;
1907;03;06;;;;;
1907;03;07;;;;;
1907;03;08;;;;;
1907;03;09;;;;;
1907;03;10;;;;;
1907;03;11;;;;;
1907;03;12;;;;;
1907;03;13;;;;;
1907;03;14;;;;;
1907;03;15;;;;;
1907;03;16;;;;;
1907;03;17;;;;;
1907;03;18;;;;;
1907;03;19;;;;;
1907;03;20;;;;;
1907;03;21;;;;;
1907;03;22;;;;;
1907;03;23;;;;;
1907;03;24;;;;;
1907;03;25;;;;;
1907;03;26;;;;;
1907;03;27;;;;;
1907;03;28;;;;;
1907;03;29;;;;;
1907;03;30;;;;;
1907;03;31;;;;;
1907;04;01;;;;;
1907;04;02;;;;;
1907;04;03;;;;;
1907;04;04;;;;;
1907;04;05;;;;;
1907;04;06;;;;;
1907;04;07;;;;;
1907;04;08;;;;;
1907;04;09;;;;;
1907;04;10;;;;;
1907;04;11;;;;;
1907;04;12;;;;;
1907;04;13;;;;;
1907;04;14;;;;;
1907;04;15;;;;;
1907;04;16;;;;;
1907;04;17;;;;;
1907;04;18;;;;;
1907;04;19;;;;;
1907;04;20;;;;;
1907;04;21;;;;;
1907;04;22;;;;;
1907;04;23;;;;;
1907;04;24;;;;;
1907;04;25;;;;;
1907;04;26;;;;;
1907;04;27;;;;;
1907;04;28;;;;;
1907;04;29;;;;;
1907;04;30;;;;;
1907;05;01;;;;;
1907;05;02;;;;;
1907;05;03;;;;;
1907;05;04;;;;;
1907;05;05;;;;;
1907;05;06;;;;;
1907;05;07;;;;;
1907;05;08;;;;;
1907;05;09;;;;;
1907;05;10;;;;;
1907;05;11;;;;;
1907;05;12;;;;;
1907;05;13;;;;;
1907;05;14;;;;;
1907;05;15;;;;;
1907;05;16;;;;;
1907;05;17;;;;;
1907;05;18;;;;;
1907;05;19;;;;;
1907;05;20;;;;;
1907;05;21;;;;;
1907;05;22;;;;;
1907;05;23;;;;;
1907;05;24;;;;;
1907;05;25;;;;;
1907;05;26;;;;;
1907;05;27;;;;;
1907;05;28;;;;;
1907;05;29;;;;;
1907;05;30;;;;;
1907;05;31;;;;;
1907;06;01;;;;;
1907;06;02;;;;;
1907;06;03;;;;;
1907;06;04;;;;;
1907;06;05;;;;;
1907;06;06;;;;;
1907;06;07;;;;;
1907;06;08;;;;;
1907;06;09;;;;;
1907;06;10;;;;;
1907;06;11;;;;;
1907;06;12;;;;;
1907;06;13;;;;;
1907;06;14;;;;;
1907;06;15;;;;;
1907;06;16;;;;;
1907;06;17;;;;;
1907;06;18;;;;;
1907;06;19;;;;;
1907;06;20;;;;;
1907;06;21;;;;;
1907;06;22;;;;;
1907;06;23;;;;;
1907;06;24;;;;;
1907;06;25;;;;;
1907;06;26;;;;;
1907;06;27;;;;;
1907;06;28;;;;;
1907;06;29;;;;;
1907;06;30;;;;;
1907;07;01;;;;;
1907;07;02;;;;;
1907;07;03;;;;;
1907;07;04;;;;;
1907;07;05;;;;;
1907;07;06;;;;;
1907;07;07;;;;;
1907;07;08;;;;;
1907;07;09;;;;;
1907;07;10;;;;;
1907;07;11;;;;;
1907;07;12;;;;;
1907;07;13;;;;;
1907;07;14;;;;;
1907;07;15;;;;;
1907;07;16;;;;;
1907;07;17;;;;;
1907;07;18;;;;;
1907;07;19;;;;;
1907;07;20;;;;;
1907;07;21;;;;;
1907;07;22;;;;;
1907;07;23;;;;;
1907;07;24;;;;;
1907;07;25;;;;;
1907;07;26;;;;;
1907;07;27;;;;;
1907;07;28;;;;;
1907;07;29;;;;;
1907;07;30;;;;;
1907;07;31;;;;;
1907;08;01;;;;;
1907;08;02;;;;;
1907;08;03;;;;;
1907;08;04;;;;;
1907;08;05;;;;;
1907;08;06;;;;;
1907;08;07;;;;;
1907;08;08;;;;;
1907;08;09;;;;;
1907;08;10;;;;;
1907;08;11;;;;;
1907;08;12;;;;;
1907;08;13;;;;;
1907;08;14;;;;;
1907;08;15;;;;;
1907;08;16;;;;;
1907;08;17;;;;;
1907;08;18;;;;;
1907;08;19;;;;;
1907;08;20;;;;;
